D_loss,G_loss,epoch,step
3.6283059120178223,1401.054443359375,2,49
3.0770153999328613,1382.3291015625,5,99
3.735962390899658,1403.354248046875,7,149
3.7025959491729736,1360.763427734375,10,199
2.4043684005737305,1396.76318359375,13,249
